"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4771","testCheckboxes()","","2025-12-04","passed","2025-12-04","","grupotp013.proyectopiloto.CheckboxesPageTest","grupotp013.proyectopiloto.CheckboxesPageTest","testCheckboxes"
"","7356","fileUploadTest()","","2025-12-04","broken","2025-12-04","","grupotp013.proyectopiloto.FileUploadPageTest","grupotp013.proyectopiloto.FileUploadPageTest","fileUploadTest"
"","4423","navigationToAllTools()","","2025-12-04","broken","2025-12-04","","grupotp013.proyectopiloto.MainPageTest","grupotp013.proyectopiloto.MainPageTest","navigationToAllTools"
"","3450","testDropdown()","","2025-12-04","passed","2025-12-04","","grupotp013.proyectopiloto.DropdownPageTest","grupotp013.proyectopiloto.DropdownPageTest","testDropdown"
"","4462","search()","","2025-12-04","broken","2025-12-04","","grupotp013.proyectopiloto.MainPageTest","grupotp013.proyectopiloto.MainPageTest","search"
"","3748","testMovieRowsPresent()","","2025-12-11","passed","2025-12-11","","TestSuite3.DateBaseTest","TestSuite3.DateBaseTest","testMovieRowsPresent"
"","4396","validLoginTest()","","2025-12-04","passed","2025-12-04","","grupotp013.proyectopiloto.LoginPageTest","grupotp013.proyectopiloto.LoginPageTest","validLoginTest"
"","3009","testEnteringNumbers()","","2025-12-04","passed","2025-12-04","","grupotp013.proyectopiloto.InputsPageTest","grupotp013.proyectopiloto.InputsPageTest","testEnteringNumbers"
"","8640","testDynamicLoading()","","2025-12-04","passed","2025-12-04","","grupotp013.proyectopiloto.DynamicLoadingPageTest","grupotp013.proyectopiloto.DynamicLoadingPageTest","testDynamicLoading"
"","4375","toolsMenu()","","2025-12-04","broken","2025-12-04","","grupotp013.proyectopiloto.MainPageTest","grupotp013.proyectopiloto.MainPageTest","toolsMenu"
